genre,subgenre,count
Ambient,Ambient,30
Ambient,Dark Ambient,4
Ambient,Darkwave,3
Ambient,Drone,13
Ambient,Epic Collage,1
Ambient,Flashcore,2
Ambient,Future Garage,1
Ambient,Harsh Noise,1
Ambient,Hi-Tech Psytrance,1
Ambient,Musique concrète,4
Ambient,Neoclassical Darkwave,6
Ambient,Noise,3
Ambient,Power Noise,1
Ambient,Sound Collage,3
Ambient,Space Ambient,1
Ambient,Tape Music,4
Classical,Baroque Music,6
Classical,Breakcore,2
Classical,Chamber Music,3
Classical,Choral,1
Classical,Classical Crossover,1
Classical,Field Recordings,1
Classical,Microtonal Classical,1
Classical,Minimalism,4
Classical,Modern Classical,16
Classical,Neoclassical New Age,1
Classical,New Romantic,1
Classical,Orchestral,1
Classical,Persian Classical Music,1
Classical,Post-Minimalism,8
Classical,Renaissance Music,2
Classical,Romanticism,1
Classical,Spectralism,2
Classical,Stochastic Music,1
Classical,Tone Poem,1
Electronic,Ambient Techno,1
Electronic,Breakbeat,1
Electronic,Chillwave,3
Electronic,Death Industrial,1
Electronic,Deep House,4
Electronic,Disco,1
Electronic,Dub Techno,3
Electronic,Dubstep,1
Electronic,EAI,2
Electronic,Electroacoustic,1
Electronic,Electronic,10
Electronic,Electronic Dance Music,3
Electronic,Experimental,3
Electronic,Experimental Big Band,4
Electronic,French Electro,2
Electronic,French House,1
Electronic,Future Bass,1
Electronic,Glitch,4
Electronic,House,2
Electronic,IDM,16
Electronic,Industrial,1
Electronic,Industrial Techno,1
Electronic,Microhouse,2
Electronic,Minimal Drum and Bass,1
Electronic,Minimal Techno,4
Electronic,Neurofunk,1
Electronic,Nu-Disco,1
Electronic,Outsider House,5
Electronic,Post-Industrial,10
Electronic,Progressive Electronic,1
Electronic,Vaporwave,16
Folk,Alt-Country,10
Folk,American Primitivism,1
Folk,Americana,12
Folk,Avant-Folk,10
Folk,Celtic New Age,1
Folk,Chamber Folk,9
Folk,Chicago Blues,1
Folk,Contemporary Country,2
Folk,Contemporary Folk,17
Folk,Country Soul,3
Folk,Dark Folk,6
Folk,Folk Pop,2
Folk,Folktronica,5
Folk,Freak Folk,1
Folk,Gothic Country,6
Folk,Hill Country Blues,1
Folk,Indie Folk,22
Folk,Irish Folk Music,1
Folk,Mexican Folk Music,2
Folk,Neo-Acoustic,1
Folk,Neo-Medieval Folk,1
Folk,Neofolk,5
Folk,Nordic Folk Music,1
Folk,Outlaw Country,1
Folk,Polish Folk Music,1
Folk,Progressive Country,1
Folk,Progressive Folk,5
Folk,Psychedelic Folk,6
Folk,Singer-Songwriter,70
Hip Hop,Abstract Hip Hop,29
Hip Hop,Boom Bap,10
Hip Hop,Cloud Rap,5
Hip Hop,Conscious Hip Hop,27
Hip Hop,Deconstructed Club,4
Hip Hop,Dirty South,1
Hip Hop,Drumless,7
Hip Hop,East Coast Hip Hop,50
Hip Hop,Experimental Hip Hop,19
Hip Hop,French Hip Hop,2
Hip Hop,Gangsta Rap,9
Hip Hop,Grime,1
Hip Hop,Hip Hop,6
Hip Hop,Horrorcore,1
Hip Hop,Hybrid Trap,1
Hip Hop,Industrial Hip Hop,10
Hip Hop,Instrumental Hip Hop,11
Hip Hop,Jazz Rap,15
Hip Hop,Memphis Rap,3
Hip Hop,Miami Bass,1
Hip Hop,Political Hip Hop,4
Hip Hop,Southern Hip Hop,18
Hip Hop,Trap,5
Hip Hop,Trip Hop,1
Hip Hop,UK Bass,2
Hip Hop,UK Hip Hop,5
Hip Hop,West Coast Hip Hop,10
Hip Hop,Wonky,1
Jazz,Afro-Jazz,1
Jazz,Avant-Garde Jazz,11
Jazz,Chamber Jazz,4
Jazz,Dark Jazz,2
Jazz,ECM Style Jazz,3
Jazz,Ethio-Jazz,2
Jazz,Free Jazz,1
Jazz,Jazz,4
Jazz,Jazz Fusion,11
Jazz,Jazz-Funk,1
Jazz,Liquid Drum and Bass,1
Jazz,Nu Jazz,5
Jazz,Post-Bop,2
Jazz,Progressive Bluegrass,2
Jazz,Spiritual Jazz,5
Jazz,Vocal Jazz,1
Jazz,Wolof Music,1
Metal,Alternative Metal,18
Metal,Atmospheric Black Metal,67
