genre,subgenre,year
Metal,Avant-Garde Metal,1980
Metal,Grindcore,1980
Metal,Black Metal,1980
Metal,Blackgaze,2000
Metal,Thrash Metal,1980
Metal,Death Metal,1980
Metal,Atmospheric Sludge Metal,2010
Metal,Dissonant Death Metal,1990
Metal,Progressive Metal,1980
Metal,Atmospheric Black Metal,1990
Metal,Melodic Death Metal,1990
Metal,Power Metal,1980
Metal,Heavy Metal,1960
Metal,Doom Metal,1980
Metal,Drone Metal,1990
Metal,Technical Death Metal,1990
Metal,Post-Metal,1990
Metal,Death Doom Metal,1990
Metal,Brutal Death Metal,1990
Metal,Melodic Black Metal,1990
Metal,Metalcore,1990
Metal,Technical Thrash Metal,1980
Metal,Pagan Black Metal,1990
Metal,Gothic Metal,1990
Metal,US Power Metal,1980
Metal,Goregrind,1980
Metal,Alternative Metal,1990
Metal,Depressive Black Metal,1990
Metal,Funeral Doom Metal,1990
Metal,War Metal,1990
Metal,Stoner Metal,1990
Metal,Sludge Metal,1990
Metal,Mathcore,1990
Metal,Folk Metal,1990
Metal,Powerviolence,1990
Metal,Symphonic Metal,1990
Metal,Neo-Prog,1980
Metal,Traditional Doom Metal,1970
Metal,Speed Metal,1970
Metal,Deathgrind,1980
Metal,Slam Death Metal,1990
Metal,Deathcore,1990
Metal,Melodic Metalcore,1990
Metal,Groove Metal,1990
Metal,Industrial Metal,1990
Metal,Djent,2000
Metal,Epic Doom Metal,1986
Rock,Art Rock,1966
Rock,Avant-Prog,1970
Rock,Hardcore Punk,1970
Rock,Jazz-Rock,1960
Rock,Noise Rock,1980
Rock,Neo-Psychedelia,1970
Rock,Screamo,1990
Rock,Psychedelic Rock,1960
Rock,Post-Hardcore,1980
Rock,Dance-Punk,1970
Rock,Indie Rock,1970
Rock,Gothic Rock,1970
Rock,Zeuhl,1970
Rock,Riot Grrrl,1990
Rock,Emoviolence,1990
Rock,Post-Rock,1990
Rock,Shoegaze,1980
Rock,Art Punk,1970
Rock,Post-Punk,1980
Rock,Tishoumaren,2010
Rock,Pop Rock,1950
Rock,Hardcore Breaks,1990
Rock,Progressive Rock,1960
Rock,Hardcore Hip Hop,1980
Rock,Pop Punk,1970
Rock,Piano Rock,1970
Rock,Math Rock,1980
Rock,Symphonic Prog,1970
Rock,Emo,1980
Rock,Midwest Emo,1990
Rock,Yakousei,2000
Rock,J-Rock,1970
Rock,Slowcore,1990
Rock,Acoustic Rock,1960
Rock,Alternative Rock,1970
Rock,Digital Hardcore,1990
Rock,Heavy Psych,1960
Rock,Queercore,1980
Rock,New Wave,1970
Rock,Heartland Rock,1970
Rock,Experimental Rock,1960
Rock,Melodic Hardcore,1980
Rock,Hard Rock,1970
Rock,Stoner Rock,1990
Rock,Slacker Rock,1990
Rock,Swancore,2000
Rock,Folk Rock,1960
Rock,Ska Punk,1990
Rock,Japanese Hardcore,1980
Rock,Folk Punk,1980
Rock,Punk Rock,1970
Rock,AOR,1970
Rock,Garage Punk,1970
Rock,Samba-rock,1960
Rock,Blues Rock,1960
Rock,Industrial Rock,1970
Rock,Celtic Punk,1980
Rock,Rock Opera,1960
Rock,Rock urbano español,1970
Rock,Emo-Pop,2000
Rock,Comedy Rock,1950
Rock,Punk Blues,1980
Rock,Southern Rock,1970
Rock,Space Rock,1970
Rock,Post-Punk Revival,2000
Rock,D-Beat,1980
Rock,Garage Rock,1960
Rock,Garage Rock Revival,1960
Rock,UK Garage,1990
Rock,Neocrust,1980
Rock,Stenchcore,1980
Pop,Indie Pop,1980
Pop,Dream Pop,1980
Pop,Baroque Pop,1970
Pop,Art Pop,1950
Pop,Glitch Pop,1990
Pop,Dance-Pop,1980
Pop,Synthpop,1970
Pop,Power Pop,1970
Pop,Noise Pop,1990
Pop,Electropop,1980
Pop,Indietronica,1970
Pop,J-Pop,1960
Pop,Hyperpop,2010
Pop,City Pop,1980
Pop,Arabic Pop,1970
Pop,Ambient Pop,1990
Pop,Progressive Pop,1960
Pop,Jazz Pop,1980
Pop,Pop Rap,1980
Pop,Bubblegum Bass,2010
Pop,Twee Pop,1980
Pop,Flamenco Pop,1980
Pop,K-Pop,1990
Pop,Alt-Pop,1980
Pop,Plunderphonics,1980
Pop,Chamber Pop,1990
Pop,Psychedelic Pop,1960
Pop,Shibuya-kei,1990
Pop,Hypnagogic Pop,2000
Pop,Minimal Wave,1980
Pop,Math Pop,2000
Pop,Jangle Pop,1980
Pop,Sophisti-Pop,1980
Pop,Bedroom Pop,1980
Pop,Picopop,2000
Pop,Alternative Dance,1980
Pop,Akishibu-kei,2000
Folk,Indie Folk,1960
Folk,Chamber Folk,1960
Folk,Progressive Folk,1930
Folk,Avant-Folk,1940
Folk,Singer-Songwriter,1960
Folk,Country Soul,1960
Folk,Mexican Folk Music,1960
Folk,Contemporary Country,1990
Folk,Contemporary Folk,1960
Folk,Alt-Country,1990
Folk,Folk Pop,1960
Folk,Irish Folk Music,1920
Folk,Progressive Country,1970
Folk,Americana,1950
Folk,Dark Folk,1990
Folk,Psychedelic Folk,1960
Folk,Outlaw Country,1970
Folk,Folktronica,1990
Folk,Neofolk,1980
Folk,Gothic Country,1990
Folk,Chicago Blues,1920
